case_id,prefix,k,next_act,Resource
Case 2929,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 1
Case 2930,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 2930,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 9
Case 2930,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 9
Case 2931,assign-seriousness,0,take-in-charge-ticket,Value 14
Case 2931,assign-seriousness take-in-charge-ticket,1,wait,Value 14
Case 2931,assign-seriousness take-in-charge-ticket wait,2,require-upgrade,Value 14
Case 2931,assign-seriousness take-in-charge-ticket wait require-upgrade,3,resolve-ticket,Value 2
Case 2931,assign-seriousness take-in-charge-ticket wait require-upgrade resolve-ticket,4,resolve-ticket,Value 9
Case 2931,assign-seriousness take-in-charge-ticket wait require-upgrade resolve-ticket resolve-ticket,5,closed,Value 9
Case 2932,assign-seriousness,0,take-in-charge-ticket,Value 14
Case 2932,assign-seriousness take-in-charge-ticket,1,wait,Value 12
Case 2932,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 12
Case 2932,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 12
Case 2933,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 2933,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 2933,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 2934,assign-seriousness,0,take-in-charge-ticket,Value 14
Case 2934,assign-seriousness take-in-charge-ticket,1,wait,Value 9
Case 2934,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 9
Case 2934,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 9
Case 2935,assign-seriousness,0,take-in-charge-ticket,Value 8
Case 2935,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 8
Case 2935,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 8
Case 2936,assign-seriousness,0,take-in-charge-ticket,Value 8
Case 2936,assign-seriousness take-in-charge-ticket,1,wait,Value 8
Case 2936,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket,Value 8
Case 2936,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket,Value 8
Case 2936,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,take-in-charge-ticket,Value 8
Case 2936,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket,5,resolve-ticket,Value 8
Case 2936,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket,6,closed,Value 8
Case 2937,assign-seriousness,0,take-in-charge-ticket,Value 8
Case 2937,assign-seriousness take-in-charge-ticket,1,create-sw-anomaly,Value 2
Case 2937,assign-seriousness take-in-charge-ticket create-sw-anomaly,2,create-sw-anomaly,Value 2
Case 2937,assign-seriousness take-in-charge-ticket create-sw-anomaly create-sw-anomaly,3,resolve-ticket,Value 2
Case 2937,assign-seriousness take-in-charge-ticket create-sw-anomaly create-sw-anomaly resolve-ticket,4,closed,Value 2
Case 2938,assign-seriousness,0,take-in-charge-ticket,Value 9
Case 2938,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 2938,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 2939,assign-seriousness,0,take-in-charge-ticket,Value 13
Case 2939,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 13
Case 2939,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 13
Case 2940,assign-seriousness,0,take-in-charge-ticket,Value 9
Case 2940,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 2940,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 16
Case 2941,assign-seriousness,0,take-in-charge-ticket,Value 8
Case 2941,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 9
Case 2941,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 10
Case 2942,assign-seriousness,0,take-in-charge-ticket,Value 8
Case 2942,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 8
Case 2942,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 8
Case 2943,assign-seriousness,0,assign-seriousness,Value 8
Case 2943,assign-seriousness assign-seriousness,1,take-in-charge-ticket,Value 2
Case 2943,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket,Value 2
Case 2943,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed,Value 11
Case 2944,assign-seriousness,0,take-in-charge-ticket,Value 8
Case 2944,assign-seriousness take-in-charge-ticket,1,wait,Value 8
Case 2944,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket,Value 13
Case 2944,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket,Value 13
Case 2944,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed,Value 13
Case 2945,assign-seriousness,0,wait,Value 9
Case 2945,assign-seriousness wait,1,resolve-ticket,Value 9
Case 2945,assign-seriousness wait resolve-ticket,2,closed,Value 9
Case 2946,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 2946,assign-seriousness take-in-charge-ticket,1,wait,Value 13
Case 2946,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 13
Case 2946,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 13
Case 2947,assign-seriousness,0,resolve-ticket,Value 1
Case 2947,assign-seriousness resolve-ticket,1,resolve-ticket,Value 1
Case 2947,assign-seriousness resolve-ticket resolve-ticket,2,closed,Value 1
Case 2948,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 2948,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 13
Case 2948,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 13
Case 2949,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 2949,assign-seriousness take-in-charge-ticket,1,wait,Value 2
Case 2949,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 9
Case 2949,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 9
Case 2950,assign-seriousness,0,take-in-charge-ticket,Value 8
Case 2950,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 2950,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 7
Case 2951,assign-seriousness,0,take-in-charge-ticket,Value 8
Case 2951,assign-seriousness take-in-charge-ticket,1,wait,Value 8
Case 2951,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket,Value 9
Case 2951,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket,Value 9
Case 2951,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed,Value 9
Case 2952,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 2952,assign-seriousness take-in-charge-ticket,1,wait,Value 9
Case 2952,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 9
Case 2952,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 9
Case 2953,assign-seriousness,0,take-in-charge-ticket,Value 14
Case 2953,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 14
Case 2953,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 9
Case 2954,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 2954,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 2954,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 2955,insert-ticket,0,assign-seriousness,Value 15
Case 2955,insert-ticket assign-seriousness,1,take-in-charge-ticket,Value 15
Case 2955,insert-ticket assign-seriousness take-in-charge-ticket,2,resolve-ticket,Value 15
Case 2955,insert-ticket assign-seriousness take-in-charge-ticket resolve-ticket,3,closed,Value 15
Case 2956,assign-seriousness,0,wait,Value 1
Case 2956,assign-seriousness wait,1,resolve-ticket,Value 1
Case 2956,assign-seriousness wait resolve-ticket,2,closed,Value 4
Case 2957,assign-seriousness,0,take-in-charge-ticket,Value 9
Case 2957,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 9
Case 2957,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 9
Case 2958,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 2958,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 6
Case 2958,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 6
Case 2959,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 2959,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 21
Case 2959,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 21
Case 2960,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 2960,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 1
Case 2960,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 1
Case 2961,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 2961,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 6
Case 2961,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 6
Case 2962,assign-seriousness,0,take-in-charge-ticket,Value 13
Case 2962,assign-seriousness take-in-charge-ticket,1,wait,Value 2
Case 2962,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 9
Case 2962,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 9
Case 2963,assign-seriousness,0,take-in-charge-ticket,Value 13
Case 2963,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 13
Case 2963,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 13
Case 2964,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 2964,assign-seriousness take-in-charge-ticket,1,wait,Value 9
Case 2964,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 9
Case 2964,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 9
Case 2965,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 2965,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 7
Case 2965,assign-seriousness take-in-charge-ticket resolve-ticket,2,resolve-ticket,Value 7
Case 2965,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,3,closed,Value 2
Case 2966,assign-seriousness,0,take-in-charge-ticket,Value 14
Case 2966,assign-seriousness take-in-charge-ticket,1,wait,Value 9
Case 2966,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 9
Case 2966,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 9
Case 2967,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 2967,assign-seriousness take-in-charge-ticket,1,wait,Value 9
Case 2967,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 9
Case 2967,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 9
Case 2968,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 2968,assign-seriousness take-in-charge-ticket,1,wait,Value 2
Case 2968,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 1
Case 2968,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 1
Case 2969,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 2969,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 10
Case 2969,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 1
Case 2970,assign-seriousness,0,take-in-charge-ticket,Value 4
Case 2970,assign-seriousness take-in-charge-ticket,1,require-upgrade,Value 2
Case 2970,assign-seriousness take-in-charge-ticket require-upgrade,2,wait,Value 1
Case 2970,assign-seriousness take-in-charge-ticket require-upgrade wait,3,resolve-ticket,Value 1
Case 2970,assign-seriousness take-in-charge-ticket require-upgrade wait resolve-ticket,4,closed,Value 1
Case 2971,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 2971,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 12
Case 2971,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 11
Case 2972,assign-seriousness,0,assign-seriousness,Value 1
Case 2972,assign-seriousness assign-seriousness,1,take-in-charge-ticket,Value 1
Case 2972,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket,Value 16
Case 2972,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed,Value 16
Case 2973,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 2973,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 1
Case 2973,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 4
Case 2974,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 2974,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 1
Case 2974,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 1
Case 2975,assign-seriousness,0,wait,Value 18
Case 2975,assign-seriousness wait,1,assign-seriousness,Value 2
Case 2975,assign-seriousness wait assign-seriousness,2,take-in-charge-ticket,Value 2
Case 2975,assign-seriousness wait assign-seriousness take-in-charge-ticket,3,wait,Value 2
Case 2975,assign-seriousness wait assign-seriousness take-in-charge-ticket wait,4,wait,Value 2
Case 2975,assign-seriousness wait assign-seriousness take-in-charge-ticket wait wait,5,take-in-charge-ticket,Value 2
Case 2975,assign-seriousness wait assign-seriousness take-in-charge-ticket wait wait take-in-charge-ticket,6,resolve-ticket,Value 2
Case 2975,assign-seriousness wait assign-seriousness take-in-charge-ticket wait wait take-in-charge-ticket resolve-ticket,7,closed,Value 9
Case 2976,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 2976,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 2976,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 2977,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 2977,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 2977,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 2978,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 2978,assign-seriousness take-in-charge-ticket,1,wait,Value 1
Case 2978,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 1
Case 2978,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 1
Case 2979,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 2979,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 2979,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 2980,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 2980,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 2980,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 2981,assign-seriousness,0,assign-seriousness,Value 18
Case 2981,assign-seriousness assign-seriousness,1,take-in-charge-ticket,Value 18
Case 2981,assign-seriousness assign-seriousness take-in-charge-ticket,2,require-upgrade,Value 18
Case 2981,assign-seriousness assign-seriousness take-in-charge-ticket require-upgrade,3,require-upgrade,Value 18
Case 2981,assign-seriousness assign-seriousness take-in-charge-ticket require-upgrade require-upgrade,4,resolve-ticket,Value 9
Case 2981,assign-seriousness assign-seriousness take-in-charge-ticket require-upgrade require-upgrade resolve-ticket,5,closed,Value 9
Case 2982,assign-seriousness,0,resolve-ticket,Value 1
Case 2982,assign-seriousness resolve-ticket,1,resolve-ticket,Value 2
Case 2982,assign-seriousness resolve-ticket resolve-ticket,2,closed,Value 2
Case 2983,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 2983,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 2983,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 2984,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 2984,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 9
Case 2984,assign-seriousness take-in-charge-ticket resolve-ticket,2,resolve-ticket,Value 2
Case 2984,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,3,closed,Value 2
Case 2985,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 2985,assign-seriousness take-in-charge-ticket,1,take-in-charge-ticket,Value 4
Case 2985,assign-seriousness take-in-charge-ticket take-in-charge-ticket,2,require-upgrade,Value 2
Case 2985,assign-seriousness take-in-charge-ticket take-in-charge-ticket require-upgrade,3,resolve-ticket,Value 2
Case 2985,assign-seriousness take-in-charge-ticket take-in-charge-ticket require-upgrade resolve-ticket,4,closed,Value 2
Case 2986,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 2986,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 1
Case 2986,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 1
Case 2987,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 2987,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 1
Case 2987,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 1
Case 2988,assign-seriousness,0,resolve-ticket,Value 14
Case 2988,assign-seriousness resolve-ticket,1,resolve-ticket,Value 2
Case 2988,assign-seriousness resolve-ticket resolve-ticket,2,closed,Value 2
Case 2989,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 2989,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 6
Case 2989,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 6
Case 2990,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 2990,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 13
Case 2990,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 13
Case 2991,assign-seriousness,0,take-in-charge-ticket,Value 8
Case 2991,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 8
Case 2991,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 10
Case 2992,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 2992,assign-seriousness take-in-charge-ticket,1,wait,Value 4
Case 2992,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 2
Case 2992,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 2
Case 2993,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 2993,assign-seriousness take-in-charge-ticket,1,wait,Value 12
Case 2993,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket,Value 12
Case 2993,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket,Value 12
Case 2993,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed,Value 12
Case 2994,assign-seriousness,0,resolve-ticket,Value 9
Case 2994,assign-seriousness resolve-ticket,1,closed,Value 10
Case 2995,assign-seriousness,0,take-in-charge-ticket,Value 9
Case 2995,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 12
Case 2995,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 12
Case 2996,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 2996,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 2996,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 2997,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 2997,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 2997,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 2998,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 2998,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 4
Case 2998,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 4
Case 2999,assign-seriousness,0,take-in-charge-ticket,Value 7
Case 2999,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 7
Case 2999,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 7
Case 3000,assign-seriousness,0,take-in-charge-ticket,Value 8
Case 3000,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 8
Case 3000,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 8
Case 3001,assign-seriousness,0,assign-seriousness,Value 2
Case 3001,assign-seriousness assign-seriousness,1,take-in-charge-ticket,Value 2
Case 3001,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket,Value 2
Case 3001,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed,Value 2
Case 3002,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 3002,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 1
Case 3002,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 1
Case 3003,assign-seriousness,0,take-in-charge-ticket,Value 13
Case 3003,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 13
Case 3003,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 13
Case 3004,assign-seriousness,0,assign-seriousness,Value 2
Case 3004,assign-seriousness assign-seriousness,1,take-in-charge-ticket,Value 2
Case 3004,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket,Value 2
Case 3004,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,resolve-ticket,Value 2
Case 3004,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,4,closed,Value 2
Case 3005,assign-seriousness,0,take-in-charge-ticket,Value 13
Case 3005,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 3005,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 8
Case 3006,assign-seriousness,0,take-in-charge-ticket,Value 8
Case 3006,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 13
Case 3006,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 13
Case 3007,assign-seriousness,0,resolve-ticket,Value 1
Case 3007,assign-seriousness resolve-ticket,1,resolve-ticket,Value 1
Case 3007,assign-seriousness resolve-ticket resolve-ticket,2,closed,Value 1
Case 3008,assign-seriousness,0,take-in-charge-ticket,Value 18
Case 3008,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 3008,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 4
Case 3009,assign-seriousness,0,take-in-charge-ticket,Value 4
Case 3009,assign-seriousness take-in-charge-ticket,1,wait,Value 2
Case 3009,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket,Value 2
Case 3009,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket,Value 2
Case 3009,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed,Value 2
Case 3010,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 3010,assign-seriousness take-in-charge-ticket,1,wait,Value 1
Case 3010,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 1
Case 3010,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 1
Case 3011,take-in-charge-ticket,0,wait,Value 1
Case 3011,take-in-charge-ticket wait,1,wait,Value 9
Case 3011,take-in-charge-ticket wait wait,2,resolve-ticket,Value 9
Case 3011,take-in-charge-ticket wait wait resolve-ticket,3,closed,Value 9
Case 3012,assign-seriousness,0,take-in-charge-ticket,Value 9
Case 3012,assign-seriousness take-in-charge-ticket,1,wait,Value 9
Case 3012,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket,Value 9
Case 3012,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket,Value 9
Case 3012,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed,Value 9
Case 3013,assign-seriousness,0,take-in-charge-ticket,Value 18
Case 3013,assign-seriousness take-in-charge-ticket,1,take-in-charge-ticket,Value 20
Case 3013,assign-seriousness take-in-charge-ticket take-in-charge-ticket,2,wait,Value 2
Case 3013,assign-seriousness take-in-charge-ticket take-in-charge-ticket wait,3,resolve-ticket,Value 2
Case 3013,assign-seriousness take-in-charge-ticket take-in-charge-ticket wait resolve-ticket,4,closed,Value 2
Case 3014,assign-seriousness,0,resolve-ticket,Value 2
Case 3014,assign-seriousness resolve-ticket,1,resolve-ticket,Value 1
Case 3014,assign-seriousness resolve-ticket resolve-ticket,2,closed,Value 1
Case 3015,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 3015,assign-seriousness take-in-charge-ticket,1,require-upgrade,Value 2
Case 3015,assign-seriousness take-in-charge-ticket require-upgrade,2,resolve-ticket,Value 2
Case 3015,assign-seriousness take-in-charge-ticket require-upgrade resolve-ticket,3,closed,Value 2
Case 3016,assign-seriousness,0,assign-seriousness,Value 2
Case 3016,assign-seriousness assign-seriousness,1,take-in-charge-ticket,Value 2
Case 3016,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket,Value 2
Case 3016,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed,Value 13
Case 3017,assign-seriousness,0,take-in-charge-ticket,Value 4
Case 3017,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 4
Case 3017,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 4
Case 3018,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 3018,assign-seriousness take-in-charge-ticket,1,wait,Value 13
Case 3018,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 13
Case 3018,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 13
Case 3019,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 3019,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 6
Case 3019,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 6
Case 3020,assign-seriousness,0,take-in-charge-ticket,Value 13
Case 3020,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 13
Case 3020,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 13
Case 3021,assign-seriousness,0,take-in-charge-ticket,Value 14
Case 3021,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 9
Case 3021,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 9
Case 3022,take-in-charge-ticket,0,wait,Value 1
Case 3022,take-in-charge-ticket wait,1,resolve-ticket,Value 13
Case 3022,take-in-charge-ticket wait resolve-ticket,2,closed,Value 13
Case 3023,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 3023,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 10
Case 3023,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 10
Case 3024,assign-seriousness,0,resolve-ticket,Value 1
Case 3024,assign-seriousness resolve-ticket,1,closed,Value 1
Case 3025,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 3025,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 13
Case 3025,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 13
Case 3026,assign-seriousness,0,resolve-ticket,Value 1
Case 3026,assign-seriousness resolve-ticket,1,closed,Value 1
Case 3027,assign-seriousness,0,take-in-charge-ticket,Value 9
Case 3027,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 3
Case 3027,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 13
Case 3028,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 3028,assign-seriousness take-in-charge-ticket,1,take-in-charge-ticket,Value 11
Case 3028,assign-seriousness take-in-charge-ticket take-in-charge-ticket,2,wait,Value 11
Case 3028,assign-seriousness take-in-charge-ticket take-in-charge-ticket wait,3,take-in-charge-ticket,Value 11
Case 3028,assign-seriousness take-in-charge-ticket take-in-charge-ticket wait take-in-charge-ticket,4,resolve-ticket,Value 11
Case 3028,assign-seriousness take-in-charge-ticket take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,5,closed,Value 11
Case 3029,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 3029,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 1
