case_id,prefix,k,next_act
Case 1528,assign-seriousness assign-seriousness assign-seriousness,2,take-in-charge-ticket
Case 1528,assign-seriousness assign-seriousness assign-seriousness take-in-charge-ticket,3,resolve-ticket
Case 1528,assign-seriousness assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,4,take-in-charge-ticket
Case 1528,assign-seriousness assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket,5,create-sw-anomaly
Case 1528,assign-seriousness assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket create-sw-anomaly,6,resolve-ticket
Case 1528,assign-seriousness assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket create-sw-anomaly resolve-ticket,7,take-in-charge-ticket
Case 1528,assign-seriousness assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket create-sw-anomaly resolve-ticket take-in-charge-ticket,8,create-sw-anomaly
Case 1528,assign-seriousness assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket create-sw-anomaly resolve-ticket take-in-charge-ticket create-sw-anomaly,9,resolve-ticket
Case 1528,assign-seriousness assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket create-sw-anomaly resolve-ticket take-in-charge-ticket create-sw-anomaly resolve-ticket,10,closed
Case 1529,assign-seriousness,0,take-in-charge-ticket
Case 1529,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1529,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1530,assign-seriousness,0,assign-seriousness
Case 1530,assign-seriousness assign-seriousness,1,take-in-charge-ticket
Case 1530,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 1530,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 1531,assign-seriousness,0,take-in-charge-ticket
Case 1531,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1531,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1532,assign-seriousness,0,take-in-charge-ticket
Case 1532,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1532,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1533,assign-seriousness,0,take-in-charge-ticket
Case 1533,assign-seriousness take-in-charge-ticket,1,take-in-charge-ticket
Case 1533,assign-seriousness take-in-charge-ticket take-in-charge-ticket,2,resolve-ticket
Case 1533,assign-seriousness take-in-charge-ticket take-in-charge-ticket resolve-ticket,3,take-in-charge-ticket
Case 1533,assign-seriousness take-in-charge-ticket take-in-charge-ticket resolve-ticket take-in-charge-ticket,4,resolve-ticket
Case 1533,assign-seriousness take-in-charge-ticket take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket,5,closed
Case 1534,assign-seriousness,0,take-in-charge-ticket
Case 1534,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1534,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1534,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,closed
Case 1535,assign-seriousness,0,assign-seriousness
Case 1535,assign-seriousness assign-seriousness,1,assign-seriousness
Case 1535,assign-seriousness assign-seriousness assign-seriousness,2,resolve-ticket
Case 1535,assign-seriousness assign-seriousness assign-seriousness resolve-ticket,3,closed
Case 1536,assign-seriousness,0,take-in-charge-ticket
Case 1536,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1536,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1537,assign-seriousness,0,take-in-charge-ticket
Case 1537,assign-seriousness take-in-charge-ticket,1,wait
Case 1537,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 1537,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 1538,assign-seriousness,0,take-in-charge-ticket
Case 1538,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1538,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1539,assign-seriousness,0,take-in-charge-ticket
Case 1539,assign-seriousness take-in-charge-ticket,1,wait
Case 1539,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket
Case 1539,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket
Case 1539,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed
Case 1540,assign-seriousness,0,assign-seriousness
Case 1540,assign-seriousness assign-seriousness,1,take-in-charge-ticket
Case 1540,assign-seriousness assign-seriousness take-in-charge-ticket,2,wait
Case 1540,assign-seriousness assign-seriousness take-in-charge-ticket wait,3,take-in-charge-ticket
Case 1540,assign-seriousness assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,4,resolve-ticket
Case 1540,assign-seriousness assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,5,closed
Case 1541,assign-seriousness,0,assign-seriousness
Case 1541,assign-seriousness assign-seriousness,1,take-in-charge-ticket
Case 1541,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 1541,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 1542,assign-seriousness,0,take-in-charge-ticket
Case 1542,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1542,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1543,assign-seriousness,0,take-in-charge-ticket
Case 1543,assign-seriousness take-in-charge-ticket,1,wait
Case 1543,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 1543,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 1544,assign-seriousness,0,resolve-ticket
Case 1544,assign-seriousness resolve-ticket,1,closed
Case 1545,assign-seriousness,0,take-in-charge-ticket
Case 1545,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1545,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1546,assign-seriousness,0,take-in-charge-ticket
Case 1546,assign-seriousness take-in-charge-ticket,1,wait
Case 1546,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 1546,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,take-in-charge-ticket
Case 1546,assign-seriousness take-in-charge-ticket wait resolve-ticket take-in-charge-ticket,4,take-in-charge-ticket
Case 1546,assign-seriousness take-in-charge-ticket wait resolve-ticket take-in-charge-ticket take-in-charge-ticket,5,resolve-ticket
Case 1546,assign-seriousness take-in-charge-ticket wait resolve-ticket take-in-charge-ticket take-in-charge-ticket resolve-ticket,6,resolve-ticket
Case 1546,assign-seriousness take-in-charge-ticket wait resolve-ticket take-in-charge-ticket take-in-charge-ticket resolve-ticket resolve-ticket,7,closed
Case 1547,assign-seriousness,0,take-in-charge-ticket
Case 1547,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1547,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1548,assign-seriousness,0,take-in-charge-ticket
Case 1548,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1548,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1549,assign-seriousness,0,take-in-charge-ticket
Case 1549,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1549,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1550,assign-seriousness,0,resolve-ticket
Case 1550,assign-seriousness resolve-ticket,1,closed
Case 1551,assign-seriousness,0,take-in-charge-ticket
Case 1551,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1551,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1552,assign-seriousness,0,take-in-charge-ticket
Case 1552,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1552,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1553,assign-seriousness,0,take-in-charge-ticket
Case 1553,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1553,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1554,assign-seriousness,0,take-in-charge-ticket
Case 1554,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1554,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1555,assign-seriousness,0,take-in-charge-ticket
Case 1555,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1555,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1556,assign-seriousness,0,take-in-charge-ticket
Case 1556,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1556,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1557,assign-seriousness,0,assign-seriousness
Case 1557,assign-seriousness assign-seriousness,1,take-in-charge-ticket
Case 1557,assign-seriousness assign-seriousness take-in-charge-ticket,2,wait
Case 1557,assign-seriousness assign-seriousness take-in-charge-ticket wait,3,take-in-charge-ticket
Case 1557,assign-seriousness assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,4,resolve-ticket
Case 1557,assign-seriousness assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,5,take-in-charge-ticket
Case 1557,assign-seriousness assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket,6,wait
Case 1557,assign-seriousness assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket wait,7,take-in-charge-ticket
Case 1557,assign-seriousness assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket,8,resolve-ticket
Case 1557,assign-seriousness assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,9,closed
Case 1558,assign-seriousness,0,take-in-charge-ticket
Case 1558,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1558,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1559,assign-seriousness,0,take-in-charge-ticket
Case 1559,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1559,assign-seriousness take-in-charge-ticket resolve-ticket,2,resolve-ticket
Case 1559,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,3,closed
Case 1560,assign-seriousness,0,take-in-charge-ticket
Case 1560,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1560,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1561,assign-seriousness,0,take-in-charge-ticket
Case 1561,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1561,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1562,assign-seriousness,0,take-in-charge-ticket
Case 1562,assign-seriousness take-in-charge-ticket,1,wait
Case 1562,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 1562,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 1563,assign-seriousness,0,take-in-charge-ticket
Case 1563,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1563,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1564,assign-seriousness,0,take-in-charge-ticket
Case 1564,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1564,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1565,assign-seriousness,0,take-in-charge-ticket
Case 1565,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1565,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1566,assign-seriousness,0,take-in-charge-ticket
Case 1566,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1566,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1567,assign-seriousness,0,take-in-charge-ticket
Case 1567,assign-seriousness take-in-charge-ticket,1,wait
Case 1567,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket
Case 1567,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket
Case 1567,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed
Case 1568,assign-seriousness,0,take-in-charge-ticket
Case 1568,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1568,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1569,assign-seriousness,0,take-in-charge-ticket
Case 1569,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1569,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1570,assign-seriousness,0,take-in-charge-ticket
Case 1570,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1570,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1571,assign-seriousness,0,take-in-charge-ticket
Case 1571,assign-seriousness take-in-charge-ticket,1,wait
Case 1571,assign-seriousness take-in-charge-ticket wait,2,wait
Case 1571,assign-seriousness take-in-charge-ticket wait wait,3,wait
Case 1571,assign-seriousness take-in-charge-ticket wait wait wait,4,wait
Case 1571,assign-seriousness take-in-charge-ticket wait wait wait wait,5,wait
Case 1572,assign-seriousness,0,assign-seriousness
Case 1572,assign-seriousness assign-seriousness,1,take-in-charge-ticket
Case 1572,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 1572,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 1573,assign-seriousness,0,resolve-ticket
Case 1573,assign-seriousness resolve-ticket,1,closed
Case 1574,assign-seriousness,0,take-in-charge-ticket
Case 1574,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1574,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1575,assign-seriousness,0,take-in-charge-ticket
Case 1575,assign-seriousness take-in-charge-ticket,1,wait
Case 1575,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket
Case 1575,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket
Case 1575,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,take-in-charge-ticket
Case 1575,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket,5,resolve-ticket
Case 1575,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket,6,closed
Case 1576,assign-seriousness,0,take-in-charge-ticket
Case 1576,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1576,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1577,insert-ticket,0,assign-seriousness
Case 1577,insert-ticket assign-seriousness,1,assign-seriousness
Case 1577,insert-ticket assign-seriousness assign-seriousness,2,take-in-charge-ticket
Case 1577,insert-ticket assign-seriousness assign-seriousness take-in-charge-ticket,3,resolve-ticket
Case 1577,insert-ticket assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,4,closed
Case 1578,assign-seriousness,0,take-in-charge-ticket
Case 1578,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1578,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1579,assign-seriousness,0,take-in-charge-ticket
Case 1579,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1579,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1580,assign-seriousness,0,take-in-charge-ticket
Case 1580,assign-seriousness take-in-charge-ticket,1,wait
Case 1580,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 1580,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 1581,assign-seriousness,0,take-in-charge-ticket
Case 1581,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1581,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1582,assign-seriousness,0,take-in-charge-ticket
Case 1582,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1582,assign-seriousness take-in-charge-ticket resolve-ticket,2,resolve-ticket
Case 1582,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,3,closed
Case 1583,assign-seriousness,0,take-in-charge-ticket
Case 1583,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1583,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1584,assign-seriousness,0,take-in-charge-ticket
Case 1584,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1584,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1585,assign-seriousness,0,take-in-charge-ticket
Case 1585,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1585,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1586,assign-seriousness,0,take-in-charge-ticket
Case 1586,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1586,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1587,assign-seriousness,0,take-in-charge-ticket
Case 1587,assign-seriousness take-in-charge-ticket,1,wait
Case 1587,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 1587,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 1588,assign-seriousness,0,take-in-charge-ticket
Case 1588,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1588,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1589,assign-seriousness,0,take-in-charge-ticket
Case 1589,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1589,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1590,assign-seriousness,0,take-in-charge-ticket
Case 1590,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1590,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1591,assign-seriousness,0,take-in-charge-ticket
Case 1591,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1591,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1592,assign-seriousness,0,take-in-charge-ticket
Case 1592,assign-seriousness take-in-charge-ticket,1,wait
Case 1592,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 1592,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 1593,assign-seriousness,0,take-in-charge-ticket
Case 1593,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1593,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1594,assign-seriousness,0,take-in-charge-ticket
Case 1594,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1594,assign-seriousness take-in-charge-ticket resolve-ticket,2,take-in-charge-ticket
Case 1594,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket,3,create-sw-anomaly
Case 1594,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket create-sw-anomaly,4,resolve-ticket
Case 1594,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket create-sw-anomaly resolve-ticket,5,take-in-charge-ticket
Case 1594,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket create-sw-anomaly resolve-ticket take-in-charge-ticket,6,create-sw-anomaly
Case 1594,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket create-sw-anomaly resolve-ticket take-in-charge-ticket create-sw-anomaly,7,resolve-ticket
Case 1594,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket create-sw-anomaly resolve-ticket take-in-charge-ticket create-sw-anomaly resolve-ticket,8,closed
Case 1595,assign-seriousness,0,take-in-charge-ticket
Case 1595,assign-seriousness take-in-charge-ticket,1,wait
Case 1595,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket
Case 1595,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,wait
Case 1595,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket wait,4,take-in-charge-ticket
Case 1595,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket wait take-in-charge-ticket,5,resolve-ticket
Case 1595,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,6,closed
Case 1596,assign-seriousness,0,take-in-charge-ticket
Case 1596,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1596,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1597,assign-seriousness,0,take-in-charge-ticket
Case 1597,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1597,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1598,assign-seriousness,0,take-in-charge-ticket
Case 1598,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1598,assign-seriousness take-in-charge-ticket resolve-ticket,2,resolve-ticket
Case 1598,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,3,closed
Case 1599,assign-seriousness,0,take-in-charge-ticket
Case 1599,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1599,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1600,assign-seriousness,0,take-in-charge-ticket
Case 1600,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1600,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1601,assign-seriousness,0,take-in-charge-ticket
Case 1601,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1601,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1602,assign-seriousness,0,take-in-charge-ticket
Case 1602,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1602,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1603,assign-seriousness,0,resolve-ticket
Case 1603,assign-seriousness resolve-ticket,1,resolve-ticket
Case 1603,assign-seriousness resolve-ticket resolve-ticket,2,closed
Case 1604,assign-seriousness,0,take-in-charge-ticket
Case 1604,assign-seriousness take-in-charge-ticket,1,wait
Case 1604,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 1604,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 1605,assign-seriousness,0,take-in-charge-ticket
Case 1605,assign-seriousness take-in-charge-ticket,1,take-in-charge-ticket
Case 1605,assign-seriousness take-in-charge-ticket take-in-charge-ticket,2,wait
Case 1605,assign-seriousness take-in-charge-ticket take-in-charge-ticket wait,3,resolve-ticket
Case 1605,assign-seriousness take-in-charge-ticket take-in-charge-ticket wait resolve-ticket,4,closed
Case 1606,assign-seriousness,0,take-in-charge-ticket
Case 1606,assign-seriousness take-in-charge-ticket,1,wait
Case 1606,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 1606,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,take-in-charge-ticket
Case 1606,assign-seriousness take-in-charge-ticket wait resolve-ticket take-in-charge-ticket,4,wait
Case 1606,assign-seriousness take-in-charge-ticket wait resolve-ticket take-in-charge-ticket wait,5,resolve-ticket
Case 1606,assign-seriousness take-in-charge-ticket wait resolve-ticket take-in-charge-ticket wait resolve-ticket,6,closed
Case 1607,assign-seriousness,0,take-in-charge-ticket
Case 1607,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1607,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1608,assign-seriousness,0,take-in-charge-ticket
Case 1608,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1608,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1609,assign-seriousness,0,take-in-charge-ticket
Case 1609,assign-seriousness take-in-charge-ticket,1,wait
Case 1609,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 1609,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 1610,assign-seriousness,0,take-in-charge-ticket
Case 1610,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1610,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1611,assign-seriousness,0,assign-seriousness
Case 1611,assign-seriousness assign-seriousness,1,take-in-charge-ticket
Case 1611,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 1611,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 1612,assign-seriousness,0,take-in-charge-ticket
Case 1612,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1612,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1613,assign-seriousness,0,take-in-charge-ticket
Case 1613,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1613,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1614,assign-seriousness,0,take-in-charge-ticket
Case 1614,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1614,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1615,assign-seriousness,0,take-in-charge-ticket
Case 1615,assign-seriousness take-in-charge-ticket,1,wait
Case 1615,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 1615,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 1616,assign-seriousness,0,take-in-charge-ticket
Case 1616,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1616,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1617,assign-seriousness,0,wait
Case 1617,assign-seriousness wait,1,take-in-charge-ticket
Case 1617,assign-seriousness wait take-in-charge-ticket,2,resolve-ticket
Case 1617,assign-seriousness wait take-in-charge-ticket resolve-ticket,3,closed
Case 1618,assign-seriousness,0,take-in-charge-ticket
Case 1618,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1618,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1619,assign-seriousness,0,resolve-ticket
Case 1619,assign-seriousness resolve-ticket,1,resolve-ticket
Case 1619,assign-seriousness resolve-ticket resolve-ticket,2,closed
Case 1620,assign-seriousness,0,take-in-charge-ticket
Case 1620,assign-seriousness take-in-charge-ticket,1,wait
Case 1620,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket
Case 1620,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,wait
Case 1620,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket wait,4,resolve-ticket
Case 1620,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket wait resolve-ticket,5,closed
Case 1621,assign-seriousness,0,take-in-charge-ticket
Case 1621,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1621,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1622,assign-seriousness,0,assign-seriousness
Case 1622,assign-seriousness assign-seriousness,1,take-in-charge-ticket
Case 1622,assign-seriousness assign-seriousness take-in-charge-ticket,2,wait
Case 1622,assign-seriousness assign-seriousness take-in-charge-ticket wait,3,wait
Case 1622,assign-seriousness assign-seriousness take-in-charge-ticket wait wait,4,take-in-charge-ticket
Case 1622,assign-seriousness assign-seriousness take-in-charge-ticket wait wait take-in-charge-ticket,5,resolve-ticket
Case 1622,assign-seriousness assign-seriousness take-in-charge-ticket wait wait take-in-charge-ticket resolve-ticket,6,closed
Case 1623,assign-seriousness,0,take-in-charge-ticket
Case 1623,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1623,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1624,assign-seriousness,0,take-in-charge-ticket
Case 1624,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1624,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1625,assign-seriousness,0,take-in-charge-ticket
Case 1625,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1625,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1626,assign-seriousness,0,take-in-charge-ticket
Case 1626,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1626,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1627,assign-seriousness,0,take-in-charge-ticket
Case 1627,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1627,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1628,assign-seriousness,0,take-in-charge-ticket
Case 1628,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 1628,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 1629,assign-seriousness,0,assign-seriousness
Case 1629,assign-seriousness assign-seriousness,1,assign-seriousness
